"scientific_name","longitude","latitude","country","state_province","locality","year","record_type","catalog_number","institution_code","elevation","uncertainty"
"Bassaricyon alleni Thomas, 1880",-74.6,-8.3,"Peru","Ucayali","Yarinacocha",1946,"PRESERVED_SPECIMEN","62079","FMNH",NA,NA
"Bassaricyon alleni Thomas, 1880",-77.89583,-1.07466,"Ecuador","Napo","Oriente, Rio Jatun Yacu",1937,"PRESERVED_SPECIMEN","37920","MCZ",900,11405
"Bassaricyon alleni Thomas, 1880",-78.0833,-1.0833,"Ecuador","Napo Province","listed as upper Jatun River",1937,"PRESERVED_SPECIMEN","YPM MAM 001458","YPM",1100,NA
"Bassaricyon alleni Thomas, 1880",-76.96667,-2.06667,"Ecuador","Pastaza","Montalvo",1932,"PRESERVED_SPECIMEN","41501","FMNH",250,NA
"Bassaricyon alleni Thomas, 1880",-75.53333,-10.06667,"Peru","Pasco","Pozuzo",1923,"PRESERVED_SPECIMEN","34717","FMNH",1000,NA
"Bassaricyon alleni Thomas, 1880",-77.29126,-1.04454,"Ecuador",NA,"eastern Ecuador",NA,"PRESERVED_SPECIMEN","27340","MCZ",NA,251634
"Bassaricyon alleni Thomas, 1880",-73.9781,9.0047,"Colombia",NA,"El Banco/Departamento del Magdalena",NA,"PRESERVED_SPECIMEN","MHNG-MAM-1120.004","MHNG",NA,NA
"Bassaricyon alleni Thomas, 1880",-73.42,4.17,"Colombia","Meta","Villavicencio, Restrepo",NA,"PRESERVED_SPECIMEN","USNM 544415","USNM",NA,NA
"Bassaricyon alleni Thomas, 1880",-77.4833,-1.7333,"Ecuador","Pastaza","Sarayacu, Equador /",NA,"PRESERVED_SPECIMEN","1880.5.6.37","NHMUK",NA,NA
"Bassaricyon alleni Thomas, 1880",-75.45733,-10.389,"Peru","Pasco","CERROS DE YANACHAGUA",NA,"PRESERVED_SPECIMEN","107907","UMMZ",NA,16
"Bassaricyon alleni Thomas, 1880",-79.9,-2.167,"Ecuador","Guayas","GUAYAQUIL",NA,"PRESERVED_SPECIMEN","86477","UMMZ",NA,1.9
